Sample,Assay,Platform,ht,ht_bin,qPCR,qPCR_bin
AK_091120_REDL_01,SOCK,ht,4,1,3,1
AK_091120_REDL_03,BRKT,ht,0,0,NA,NA
AK_091120_REDL_03,BUL2,ht,0,0,NA,NA
AK_091120_REDL_03,CCUT,ht,0,0,NA,NA
AK_091120_REDL_03,CHIN,ht,0,0,NA,NA
AK_091120_REDL_03,CHUM,ht,0,0,NA,NA
AK_091120_REDL_03,COHO,ht,4,1,NA,NA
AK_091120_REDL_03,PALA,ht,0,0,NA,NA
AK_091120_REDL_03,PINK,ht,4,1,3,1
AK_091120_REDL_03,RNBT,ht,0,0,NA,NA
AK_091120_REDL_03,SOCK,ht,4,1,3,1
ID_070516_OHA_01,BRKT,ht,0,0,NA,NA
ID_070516_OHA_01,BUL2,ht,0,0,NA,NA
ID_070516_OHA_01,CCUT,ht,0,0,NA,NA
ID_070516_OHA_01,CHIN,ht,4,1,3,1
ID_070516_OHA_01,CHUM,ht,0,0,NA,NA
ID_070516_OHA_01,COHO,ht,0,0,0,0
ID_070516_OHA_01,PALA,ht,0,0,0,0
ID_070516_OHA_01,PINK,ht,0,0,NA,NA
ID_070516_OHA_01,RNBT,ht,4,1,3,1
ID_070516_OHA_01,SOCK,ht,0,0,NA,NA
ID_070616_OHA_02,BRKT,ht,0,0,NA,NA
ID_070616_OHA_02,BUL2,ht,2,1,NA,NA
ID_070616_OHA_02,CCUT,ht,0,0,NA,NA
ID_070616_OHA_02,CHIN,ht,4,1,3,1
ID_070616_OHA_02,CHUM,ht,0,0,NA,NA
ID_070616_OHA_02,COHO,ht,0,0,NA,NA
ID_070616_OHA_02,PALA,ht,0,0,0,0
ID_070616_OHA_02,PINK,ht,0,0,NA,NA
ID_070616_OHA_02,RNBT,ht,4,1,3,1
ID_070616_OHA_02,SOCK,ht,0,0,NA,NA
ID_070716_OHA_03,BRKT,ht,0,0,NA,NA
ID_070716_OHA_03,BUL2,ht,4,1,NA,NA
ID_070716_OHA_03,CCUT,ht,0,0,NA,NA
ID_070716_OHA_03,CHIN,ht,4,1,3,1
ID_070716_OHA_03,CHUM,ht,0,0,NA,NA
ID_070716_OHA_03,COHO,ht,0,0,NA,NA
ID_070716_OHA_03,PALA,ht,1,0,0,0
ID_070716_OHA_03,PINK,ht,0,0,NA,NA
ID_070716_OHA_03,RNBT,ht,4,1,3,1
ID_070716_OHA_03,SOCK,ht,0,0,NA,NA
ID_071116_OHA_08,BRKT,ht,4,1,NA,NA
ID_071116_OHA_08,BUL2,ht,0,0,NA,NA
ID_071116_OHA_08,CCUT,ht,0,0,NA,NA
ID_071116_OHA_08,CHIN,ht,4,1,3,1
ID_071116_OHA_08,CHUM,ht,0,0,NA,NA
ID_071116_OHA_08,COHO,ht,0,0,NA,NA
ID_071116_OHA_08,PALA,ht,0,0,0,0
ID_071116_OHA_08,PINK,ht,0,0,NA,NA
ID_071116_OHA_08,RNBT,ht,4,1,3,1
ID_071116_OHA_08,SOCK,ht,0,0,NA,NA
ID_071116_OHA_09,BRKT,ht,4,1,NA,NA
ID_071116_OHA_09,BUL2,ht,0,0,NA,NA
ID_071116_OHA_09,CCUT,ht,0,0,NA,NA
ID_071116_OHA_09,CHIN,ht,4,1,3,1
ID_071116_OHA_09,CHUM,ht,0,0,NA,NA
ID_071116_OHA_09,COHO,ht,1,0,NA,NA
ID_071116_OHA_09,PALA,ht,0,0,0,0
ID_071116_OHA_09,PINK,ht,0,0,NA,NA
ID_071116_OHA_09,RNBT,ht,4,1,3,1
ID_071116_OHA_09,SOCK,ht,0,0,NA,NA
ID_071616_OHA_10,BRKT,ht,3,1,NA,NA
ID_071616_OHA_10,BUL2,ht,0,0,NA,NA
ID_071616_OHA_10,CCUT,ht,0,0,NA,NA
ID_071616_OHA_10,CHIN,ht,4,1,3,1
ID_071616_OHA_10,CHUM,ht,0,0,NA,NA
ID_071616_OHA_10,COHO,ht,0,0,NA,NA
ID_071616_OHA_10,PALA,ht,0,0,0,0
ID_071616_OHA_10,PINK,ht,0,0,NA,NA
ID_071616_OHA_10,RNBT,ht,4,1,3,1
ID_071616_OHA_10,SOCK,ht,0,0,NA,NA
ID_072616_OHA_11,BRKT,ht,4,1,NA,NA
ID_072616_OHA_11,BUL2,ht,0,0,NA,NA
ID_072616_OHA_11,CCUT,ht,0,0,NA,NA
ID_072616_OHA_11,CHIN,ht,0,0,0,0
ID_072616_OHA_11,CHUM,ht,0,0,NA,NA
ID_072616_OHA_11,COHO,ht,0,0,NA,NA
ID_072616_OHA_11,PALA,ht,0,0,0,0
ID_072616_OHA_11,PINK,ht,0,0,NA,NA
ID_072616_OHA_11,RNBT,ht,4,1,3,1
ID_072616_OHA_11,SOCK,ht,0,0,NA,NA
ID_072616_OHA_12,BRKT,ht,4,1,NA,NA
ID_072616_OHA_12,BUL2,ht,0,0,NA,NA
ID_072616_OHA_12,CCUT,ht,0,0,NA,NA
ID_072616_OHA_12,CHIN,ht,0,0,0,0
ID_072616_OHA_12,CHUM,ht,0,0,NA,NA
ID_072616_OHA_12,COHO,ht,0,0,NA,NA
ID_072616_OHA_12,PALA,ht,0,0,0,0
ID_072616_OHA_12,PINK,ht,0,0,NA,NA
ID_072616_OHA_12,RNBT,ht,0,0,0,0
ID_072616_OHA_12,SOCK,ht,0,0,0,0
ID_080216_SHGL_01,BRKT,ht,0,0,0,0
ID_080216_SHGL_01,BUL2,ht,2,1,NA,NA
ID_080216_SHGL_01,CCUT,ht,0,0,NA,NA
ID_080216_SHGL_01,CHIN,ht,1,0,0,0
ID_080216_SHGL_01,CHUM,ht,1,0,NA,NA
ID_080216_SHGL_01,COHO,ht,1,0,NA,NA
ID_080216_SHGL_01,PALA,ht,0,0,0,0
ID_080216_SHGL_01,PINK,ht,0,0,NA,NA
ID_080216_SHGL_01,RNBT,ht,4,1,3,1
ID_080216_SHGL_01,SOCK,ht,0,0,NA,NA
ID_080316_SHER_02,BRKT,ht,0,0,0,0
ID_080316_SHER_02,BUL2,ht,0,0,NA,NA
ID_080316_SHER_02,CCUT,ht,0,0,NA,NA
ID_080316_SHER_02,CHIN,ht,0,0,NA,NA
ID_080316_SHER_02,CHUM,ht,0,0,NA,NA
