assay,species,Max AP,chip1,chip2,chip3,chip4,chip5,chip6,chip_binary,chip_binary_2
BRKT,Salvelinus namaycush,0.342,0,0,,,,,0,0
BRKT,Lampetra ayressi,,0,0,,,,,0,0
BUL2,Oncorhynchus clarkii clarkii,0.058,0,0,,,,,0,0
BUL2,Oncorhynchus gorbuscha,0.055,0,0,,,,,0,0
BUL2,Oncorhynchus keta,0.055,0,0,,,,,0,0
BUL2,Oncorhynchus kisutch,0.055,0,0,,,,,0,0
BUL2,Oncorhynchus mykiss,0.053,0,0,,,,,0,0
BUL2,Oncorhynchus nerka,0.057,0,0,,,,,0,0
BUL2,Oncorhynch. tshawytscha,0.054,1,1,,,,,0,1
BUL2,Salmo trutta,0.12,0,0,,,,,0,0
BUL2,Salvelinus alpinus,0.211,0,0,,,,,0,0
BUL2,Salvelinus confluentus,0.971,4,4,,,,,,
BUL2,Salvelinus fontinalis,0.328,0,0,,,,,0,0
BUL2,Salvelinus malma,0.211,0,2,0,1,0,0,1,1
BUL2,Salvelinus namaycush,0.231,0,0,,,,,0,0
BUL2,Lampetra ayressi,,0,0,,,,,0,0
SOCK,Oncorhynchus clarkii clarkii,0.257,0,0,,,,,0,0
SOCK,Oncorhynchus gorbuscha,0.298,0,0,,,,,0,0
SOCK,Oncorhynchus keta,0.134,0,0,,,,,0,0
SOCK,Oncorhynchus kisutch,0.249,0,0,,,,,0,0
SOCK,Oncorhynchus mykiss,0.217,0,0,,,,,0,0
SOCK,Oncorhynchus nerka,0.974,4,4,,,,,,
SOCK,Oncorhynch. tshawytscha,0.411,0,0,,,,,0,0
SOCK,Salmo trutta,0.253,0,0,,,,,0,0
SOCK,Salvelinus alpinus,0.374,1,1,,,,,0,1
SOCK,Salvelinus confluentus,0.374,0,0,,,,,0,0
SOCK,Salvelinus fontinalis,0.242,0,1,,,,,0,1
SOCK,Salvelinus malma,0.374,0,0,,,,,0,0
SOCK,Salvelinus namaycush,0.376,0,0,,,,,0,0
SOCK,Lampetra ayressi,,0,0,,,,,0,0
PALA,Oncorhynchus clarkii clarkii,0.213,0,0,,,,,0,0
PALA,Oncorhynchus gorbuscha,0.183,0,0,,,,,0,0
PALA,Oncorhynchus keta,0.209,0,0,,,,,0,0
PALA,Oncorhynchus kisutch,0.195,0,0,,,,,0,0
PALA,Oncorhynchus mykiss,0.244,0,0,,,,,0,0
PALA,Oncorhynchus nerka,0.217,0,0,,,,,0,0
PALA,Oncorhynch. tshawytscha,0.206,0,0,,,,,0,0
PALA,Salmo trutta,0.18,0,0,,,,,0,0
PALA,Salvelinus alpinus,0.212,0,0,,,,,0,0
PALA,Salvelinus confluentus,0.212,0,0,,,,,0,0
PALA,Salvelinus fontinalis,0.168,0,0,,,,,0,0
PALA,Salvelinus malma,0.212,0,0,,,,,0,0
PALA,Salvelinus namaycush,0.199,0,0,,,,,0,0
PALA,Lampetra ayressi,,0,0,,,,,0,0
